cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,Hardware Information on AWS Documentation & Comments,instance-class,instance-storage,memory-available,platform-memory,release-date,storage-drives
32,4,Intel,Intel® Xeon® E5-2670,115.00,N/A,N/A,Intel Xeon E5-2670 (Sandy Bridge or Ivy Bridge) processors,m3.xlarge.elasticsearch,2 x 40 (SSD),15,240,October 2012,2
48,40,Intel,Intel® Xeon® E5-2676 v3,120.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.10xlarge,EBS-Only,160,256,June 2015,0
48,40,Intel,Intel® Xeon® E5-2676 v3,120.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.10xlarge.elasticsearch,EBS-Only,160,256,June 2015,0
72,64,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.16xlarge,EBS-Only,256,256,September 2016,0
72,8,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.2xlarge,EBS-Only,32,256,June 2015,0
72,8,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.2xlarge.elasticsearch,EBS-Only,32,256,June 2015,0
72,16,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.4xlarge,EBS-Only,64,256,June 2015,0
72,16,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.4xlarge.elasticsearch,EBS-Only,64,256,June 2015,0
72,2,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.large,EBS-Only,8,256,June 2015,0
72,2,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.large.elasticsearch,EBS-Only,8,256,June 2015,0
72,4,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.xlarge,EBS-Only,16,256,June 2015,0
72,4,Intel,Intel® Xeon® E5-2686 v4,145.00,N/A,N/A,2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell),m4.xlarge.elasticsearch,EBS-Only,16,256,June 2015,0
96,48,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.12xlarge,EBS-Only,192,384,November 2017,0
96,48,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.12xlarge.elasticsearch,EBS-Only,192,384,November 2017,0
96,64,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.16xlarge,EBS-Only,256,384,June 2019,0
96,96,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.24xlarge,EBS-Only,384,384,November 2017,0
96,8,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.2xlarge,EBS-Only,32,384,November 2017,0
96,8,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.2xlarge.elasticsearch,EBS-Only,32,384,November 2017,0
96,16,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.4xlarge,EBS-Only,64,384,November 2017,0
96,16,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.4xlarge.elasticsearch,EBS-Only,64,384,November 2017,0
96,32,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.8xlarge,EBS-Only,128,384,June 2019,0
96,2,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.large,EBS-Only,8,384,November 2017,0
96,2,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.large.elasticsearch,EBS-Only,8,384,November 2017,0
96,96,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.metal,EBS-Only,384,384,February 2019,0
96,4,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.xlarge,EBS-Only,16,384,November 2017,0
96,4,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5.xlarge.elasticsearch,EBS-Only,16,384,November 2017,0
96,48,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5a.12xlarge,EBS-Only,192,384,November 2018,0
96,64,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5a.16xlarge,EBS-Only,256,384,June 2019,0
96,96,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5a.24xlarge,EBS-Only,384,384,November 2018,0
96,8,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5a.2xlarge,EBS-Only,32,384,November 2018,0
96,16,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5a.4xlarge,EBS-Only,64,384,November 2018,0
96,32,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5a.8xlarge,EBS-Only,128,384,June 2019,0
96,2,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5a.large,EBS-Only,8,384,November 2018,0
96,4,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5a.xlarge,EBS-Only,16,384,November 2018,0
96,48,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5ad.12xlarge,2 x 900 NVMe SSD,192,384,March 2019,4
96,64,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5ad.16xlarge,4 x 600 NVMe SSD,256,384,March 2019,4
96,96,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5ad.24xlarge,4 x 900 NVMe SSD,384,384,March 2019,4
96,8,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5ad.2xlarge,1 x 300 NVMe SSD,32,384,March 2019,4
96,16,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5ad.4xlarge,2 x 300 NVMe SSD,64,384,March 2019,4
96,32,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5ad.8xlarge,2 x 600 NVMe SSD,128,384,March 2019,4
96,2,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5ad.large,1 x 75 NVMe SSD,8,384,March 2019,4
96,4,AMD,AMD EPYC™ 7571,120.00,N/A,N/A,2.5 GHz AMD EPYC 7000 Series Processor,m5ad.xlarge,1 x 150 NVMe SSD,16,384,March 2019,4
96,48,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.12xlarge,2 x 900 NVMe SSD,192,384,June 2018,4
96,64,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.16xlarge,4 x 600 NVMe SSD,256,384,June 2019,4
96,96,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.24xlarge,4 x 900 NVMe SSD,384,384,June 2018,4
96,8,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.2xlarge,1 x 300 NVMe SSD,32,384,June 2018,4
96,16,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.4xlarge,2 x 300 NVMe SSD,64,384,June 2018,4
96,32,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.8xlarge,2 x 600 NVMe SSD,128,384,June 2019,4
96,2,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.large,1 x 75 NVMe SSD,8,384,June 2018,4
96,96,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.metal,4 x 900 NVMe SSD,384,384,February 2019,4
96,4,Intel,Intel® Xeon® Platinum 8175M,240.00,N/A,N/A,Up to 3.1 GHz Intel Xeon Platinum 8175M,m5d.xlarge,1 x 150 NVMe SSD,16,384,June 2018,4
96,48,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.12xlarge,2 x 900 NVMe SSD,192,384,October 2019,4
96,64,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.16xlarge,4 x 600 NVMe SSD,256,384,October 2019,4
96,96,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.24xlarge,4 x 900 NVMe SSD,384,384,October 2019,4
96,8,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.2xlarge,1 x 300 NVMe SSD,32,384,October 2019,4
