year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,cfe-hourly,cfe-annual,power-usage-efficiency,net-carbon,grid-carbon-intensity-24x7,grid-carbon-intensity-consumption,grid-carbon-intensity-marginal,grid-carbon-intensity-production,grid-carbon-intensity
2022,Amazon Web Services,eu-south-1,North Italy,IT,IT,Europe (Milan),,,1,,0,,,,,
2022,Amazon Web Services,eu-west-3,France,FR,FR,Europe (Paris),,,1,,0,,,,,
2022,Amazon Web Services,eu-south-2,Spain,ES,ES,Europe (Spain),,,1,,0,,,,,
2022,Amazon Web Services,eu-north-1,,SE,SE,Europe (Stockholm),,,1,,0,,,,,
2022,Amazon Web Services,eu-central-2,,CH,CH,Europe (Zurich),,,1,,0,,,,,
2022,Amazon Web Services,il-central-1,,IL,IL,Israel (Tel Aviv),,,,,,,,,,
2022,Amazon Web Services,me-south-1,,BH,BH,Middle East (Bahrain),,,,,,,,,,
2022,Amazon Web Services,me-central-1,,AE,AE,Middle East (UAE),,,,,,,,,,
2022,Amazon Web Services,sa-east-1,Central Brazil,BR-CS,BRA,South America (São Paulo),,,,,,,,,,
2022,Amazon Web Services,us-gov-east-1,PJM,US-MIDA-PJM,PJM_DC,GovCloud (US East),,,1,,0,,,,,
2022,Amazon Web Services,us-gov-west-1,BPA,US-NW-BPAT,BPA,GovCloud (US West),,,1,,0,,,,,
2022,Amazon Web Services,cn-north-1,,,,China (Beijing),,,1,,0,,,,,
2022,Amazon Web Services,cn-northwest-1,,,,China (Ningxia),,,1,,0,,,,,
2022,Microsoft Azure,southeastasia,Singapore,SG,SGP,Singapore,,,0.13,,,,,,,
2022,Microsoft Azure,brazilsouth,,BR-CS,BRA,Brazil,,,0.05,,,,,,,
2022,Microsoft Azure,,,FI,FI,Finland,,,0.1,,,,,,,
2022,Microsoft Azure,,,ID,ID,Indonesia,,,0.13,,,,,,,
2022,Microsoft Azure,,,,,New Zealand,,,,,,,,,,
2022,Microsoft Azure,swedencentral,,SE,SE,Sweden,,1,,,0,,,,,
2022,Microsoft Azure,australiaeast,,,,Australia East,,,0.28,,,,,,,
2022,Microsoft Azure,australiasoutheast,,,,Australia Southeast,,,0.28,,,,,,,
2022,Microsoft Azure,,,,,Denmark,,,0.1,,,,,,,
2022,Microsoft Azure,,,,,Greece Central,,,,,,,,,,
2022,Microsoft Azure,italynorth,,,,Italy North,,,0.15,,,,,,,
2022,Microsoft Azure,polandcentral,,IT,IT,Poland Central,,,,,,,,,,
2022,Microsoft Azure,,,TW,TW,Taiwan,,,,,,,,,,
2022,Microsoft Azure,,,,,Austria East,,,0.79,,,,,,,
2022,Microsoft Azure,northeurope,,IE,IE,Ireland,,,0.49,,,,,,,
2022,Microsoft Azure,westeurope,,,,Netherlands,,,0.79,,,,,,,
2022,Microsoft Azure,,,,,India South Central,,,0.46,,,,,,,
2022,Microsoft Azure,,,,,Mexico Central,,,,,,,,,,
2022,Microsoft Azure,,,,,Spain Central,,,0.15,,,,,,,
2022,Microsoft Azure,westus3,,,,Arizona: west US 3,,,0.47,,,,,,,
2022,Microsoft Azure,,,,,Georgia: East US 3,,,0.08,,,,,,,
2022,Microsoft Azure,northcentralus,,,,Illinois: North Central US,,,0.7,,,,,,,
2022,Microsoft Azure,centralus,,,,Iowa: Central US,,,1,,0,,,,,
2022,Microsoft Azure,southcentralus,,,,Texas: South Central US,,,1,,0,,,,,
2022,Microsoft Azure,eastus,,,,Virginia: East US,,,0.7,,,,,,,
2022,Microsoft Azure,eastus2,,,,Virginia: East US 2,,,0.7,,,,,,,
2022,Microsoft Azure,westus,,,,Washington: West US,,,0.47,,,,,,,
2022,Microsoft Azure,westcentralus,,,,Wyoming: West Central US,,,0.47,,,,,,,
2021,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,,0.17,,,0,456,,,,456
2021,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,,0.28,,,0,360,,,,360
2021,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,,0.16,,,0,464,,,,464
2021,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,,0.31,,,0,384,,,,384
2021,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,,0.31,,,0,425,,,,425
2021,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,,0.1,,,0,670,,,,670
2021,Google Cloud,asia-south2,Uttar Pradesh,IN-UP,IND,Delhi,,0.08,,,0,671,,,,671
2021,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,,0.04,,,0,372,,,,372
2021,Google Cloud,asia-southeast2,Indonesia,ID,,Jakarta,,0.13,,,0,580,,,,580
2021,Google Cloud,australia-southeast1,New South Wales,AUS-NSW,NEM_NSW,Sydney,,0.21,,,0,598,,,,598
2021,Google Cloud,australia-southeast2,Victoria,AUS-VIC,NEM_VIC,Melbourne,,0.31,,,0,521,,,,521
2021,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,,0.2,,,0,576,,,,576
2021,Google Cloud,europe-north1,Finland,FI,FI,Finland,,0.91,,,0,127,,,,127
2021,Google Cloud,europe-southwest1,Spain,ES,ES,Madrid,,0,,,0,121,,,,121
2021,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,,0.82,,,0,110,,,,110
2021,Google Cloud,europe-west2,Great Britain,GB,UK,London,,0.57,,,0,172,,,,172
2021,Google Cloud,europe-west3,Germany,DE,DE,Frankfurt,,0.6,,,0,269,,,,269
2021,Google Cloud,europe-west4,Netherlands,NL,NL,Netherlands,,0.53,,,0,283,,,,283
