cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,gpu-tdp,instance-class,memory-available
64.00,4.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D4s_v5,16.0
64.00,16.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_D5_v2,56.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64_v3,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64_v4,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64_v5,256.0
64.00,64.0,AMD,AMD EPYC™ 7452,155.00,,,,Standard_D64a_v4,256.0
128.00,64.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_D64ads_v5,256.0
64.00,64.0,AMD,AMD EPYC™ 7452,155.00,,,,Standard_D64as_v4,256.0
128.00,64.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_D64as_v5,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64d_v4,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64d_v4,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64d_v5,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64ds_v4,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64ds_v4,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64ds_v5,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64lds_v5,128.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64ls_v5,128.0
128.00,16.0,Ampere,Ampere® Altra®,180.00,,,,Standard_D64pds_v5,64.0
128.00,64.0,Ampere,Ampere® Altra®,180.00,,,,Standard_D64plds_v5,128.0
128.00,64.0,Ampere,Ampere® Altra®,180.00,,,,Standard_D64pls_v5,128.0
128.00,16.0,Ampere,Ampere® Altra®,180.00,,,,Standard_D64ps_v5,64.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64s_v3,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64s_v4,256.0
64.00,64.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D64s_v5,256.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_D8_v3,32.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_D8_v4,32.0
64.00,8.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D8_v5,32.0
64.00,8.0,AMD,AMD EPYC™ 7452,155.00,,,,Standard_D8a_v4,32.0
128.00,8.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_D8ads_v5,32.0
64.00,8.0,AMD,AMD EPYC™ 7452,155.00,,,,Standard_D8as_v4,32.0
128.00,8.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_D8as_v5,32.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_D8d_v4,32.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_D8d_v4,32.0
64.00,8.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D8d_v5,32.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_D8ds_v4,32.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_D8ds_v4,32.0
64.00,8.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D8ds_v5,32.0
64.00,8.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D8lds_v5,16.0
64.00,8.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D8ls_v5,16.0
128.00,4.0,Ampere,Ampere® Altra®,180.00,,,,Standard_D8pds_v5,16.0
128.00,8.0,Ampere,Ampere® Altra®,180.00,,,,Standard_D8plds_v5,16.0
128.00,8.0,Ampere,Ampere® Altra®,180.00,,,,Standard_D8pls_v5,16.0
128.00,4.0,Ampere,Ampere® Altra®,180.00,,,,Standard_D8ps_v5,16.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_D8s_v3,32.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_D8s_v4,32.0
64.00,8.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D8s_v5,32.0
64.00,96.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D96_v5,384.0
64.00,96.0,AMD,AMD EPYC™ 7452,155.00,,,,Standard_D96a_v4,384.0
128.00,96.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_D96ads_v5,384.0
64.00,96.0,AMD,AMD EPYC™ 7452,155.00,,,,Standard_D96as_v4,384.0
128.00,96.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_D96as_v5,384.0
64.00,96.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D96d_v5,384.0
64.00,96.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D96ds_v5,384.0
64.00,96.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D96lds_v5,192.0
64.00,96.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D96ls_v5,192.0
64.00,96.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_D96s_v5,384.0
128.00,16.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC16ads_v5,64.0
128.00,16.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC16as_cc_v5,64.0
128.00,16.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC16as_v5,64.0
64.00,16.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC16ds_v3,128.0
64.00,16.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC16s_v3,128.0
64.00,1.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC1ds_v3,8.0
16.00,1.0,Intel,Intel® Xeon® E-2288G,95.00,,,,Standard_DC1s_v2,4.0
64.00,1.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC1s_v3,8.0
64.00,24.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC24ds_v3,192.0
64.00,24.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC24s_v3,192.0
128.00,2.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC2ads_v5,8.0
